Feature,Feature type,Training missing values,Training missing %,Training unique values including missing,Status,Reason
Area,Categorical,0,0.0,43,Retained,Contains usable training-period variation
Item Code,Categorical,0,0.0,8,Retained,Contains usable training-period variation
production_status,Categorical,0,0.0,4,Retained,Contains usable training-period variation
domestic_supply_1000t_source_present,Binary indicator,0,0.0,1,Removed,Contains no variation in the training period
export_quantity_1000t_source_present,Binary indicator,0,0.0,2,Retained,Contains usable training-period variation
fat_supply_g_cap_day_source_present,Binary indicator,0,0.0,1,Removed,Contains no variation in the training period
feed_1000t_source_present,Binary indicator,0,0.0,2,Retained,Contains usable training-period variation
food_1000t_source_present,Binary indicator,0,0.0,1,Removed,Contains no variation in the training period
food_supply_kcal_cap_day_source_present,Binary indicator,0,0.0,1,Removed,Contains no variation in the training period
food_supply_quantity_kg_cap_yr_source_present,Binary indicator,0,0.0,1,Removed,Contains no variation in the training period
import_quantity_1000t_source_present,Binary indicator,0,0.0,2,Retained,Contains usable training-period variation
losses_1000t_source_present,Binary indicator,0,0.0,2,Retained,Contains usable training-period variation
other_uses_non_food_1000t_source_present,Binary indicator,0,0.0,2,Retained,Contains usable training-period variation
processing_1000t_source_present,Binary indicator,0,0.0,2,Retained,Contains usable training-period variation
production_1000t_source_present,Binary indicator,0,0.0,2,Retained,Contains usable training-period variation
protein_supply_g_cap_day_source_present,Binary indicator,0,0.0,1,Removed,Contains no variation in the training period
residuals_1000t_source_present,Binary indicator,0,0.0,1,Removed,Contains no variation in the training period
seed_1000t_source_present,Binary indicator,0,0.0,2,Retained,Contains usable training-period variation
stock_variation_1000t_source_present,Binary indicator,0,0.0,2,Retained,Contains usable training-period variation
tourist_consumption_1000t_source_present,Binary indicator,0,0.0,2,Retained,Contains usable training-period variation
domestic_supply_1000t_missing,Binary indicator,0,0.0,1,Removed,Contains no variation in the training period
export_quantity_1000t_missing,Binary indicator,0,0.0,2,Retained,Contains usable training-period variation
fat_supply_g_cap_day_missing,Binary indicator,0,0.0,1,Removed,Contains no variation in the training period
feed_1000t_missing,Binary indicator,0,0.0,2,Retained,Contains usable training-period variation
food_1000t_missing,Binary indicator,0,0.0,1,Removed,Contains no variation in the training period
