Feature order,Feature,Saved data type
1,Area,str
2,Item Code,str
3,production_status,str
4,export_quantity_1000t_source_present,int8
5,feed_1000t_source_present,int8
6,import_quantity_1000t_source_present,int8
7,losses_1000t_source_present,int8
8,other_uses_non_food_1000t_source_present,int8
9,processing_1000t_source_present,int8
10,production_1000t_source_present,int8
11,seed_1000t_source_present,int8
12,stock_variation_1000t_source_present,int8
13,tourist_consumption_1000t_source_present,int8
14,export_quantity_1000t_missing,int8
15,feed_1000t_missing,int8
16,import_quantity_1000t_missing,int8
17,losses_1000t_missing,int8
18,other_uses_non_food_1000t_missing,int8
19,processing_1000t_missing,int8
20,production_1000t_missing,int8
21,seed_1000t_missing,int8
22,stock_variation_1000t_missing,int8
23,tourist_consumption_1000t_missing,int8
24,Year,int64
25,Population,float64
26,domestic_supply_1000t,float64
27,export_quantity_1000t,float64
28,fat_supply_g_cap_day,float64
29,feed_1000t,float64
30,food_1000t,float64
31,food_supply_kcal_cap_day,float64
32,food_supply_quantity_kg_cap_yr,float64
33,import_quantity_1000t,float64
34,losses_1000t,float64
35,other_uses_non_food_1000t,float64
36,processing_1000t,float64
37,production_1000t,float64
38,protein_supply_g_cap_day,float64
39,residuals_1000t,float64
40,seed_1000t,float64
41,stock_variation_1000t,float64
42,tourist_consumption_1000t,float64
43,recorded_element_count,int8
44,source_absent_element_count,int8
45,source_present_missing_element_count,int8
46,recorded_zero_element_count,int8
47,recorded_negative_element_count,int8
48,supply_outcome_recorded_count,int8
49,domestic_supply_1000t_lag1,float64
50,export_quantity_1000t_lag1,float64
51,fat_supply_g_cap_day_lag1,float64
52,feed_1000t_lag1,float64
53,food_1000t_lag1,float64
54,food_supply_kcal_cap_day_lag1,float64
55,food_supply_quantity_kg_cap_yr_lag1,float64
56,import_quantity_1000t_lag1,float64
57,losses_1000t_lag1,float64
58,production_1000t_lag1,float64
59,protein_supply_g_cap_day_lag1,float64
60,residuals_1000t_lag1,float64
61,seed_1000t_lag1,float64
62,stock_variation_1000t_lag1,float64
63,domestic_supply_1000t_change1,float64
64,export_quantity_1000t_change1,float64
65,fat_supply_g_cap_day_change1,float64
66,feed_1000t_change1,float64
67,food_1000t_change1,float64
68,food_supply_kcal_cap_day_change1,float64
69,food_supply_quantity_kg_cap_yr_change1,float64
70,import_quantity_1000t_change1,float64
71,losses_1000t_change1,float64
72,production_1000t_change1,float64
73,protein_supply_g_cap_day_change1,float64
74,residuals_1000t_change1,float64
75,seed_1000t_change1,float64
76,stock_variation_1000t_change1,float64
77,domestic_supply_1000t_pct_change1,float64
78,export_quantity_1000t_pct_change1,float64
79,fat_supply_g_cap_day_pct_change1,float64
80,feed_1000t_pct_change1,float64
81,food_1000t_pct_change1,float64
82,food_supply_kcal_cap_day_pct_change1,float64
83,food_supply_quantity_kg_cap_yr_pct_change1,float64
84,import_quantity_1000t_pct_change1,float64
85,losses_1000t_pct_change1,float64
86,production_1000t_pct_change1,float64
87,protein_supply_g_cap_day_pct_change1,float64
88,seed_1000t_pct_change1,float64
89,stock_variation_1000t_pct_change1,float64
90,domestic_supply_1000t_rolling3_mean,float64
91,export_quantity_1000t_rolling3_mean,float64
92,fat_supply_g_cap_day_rolling3_mean,float64
93,feed_1000t_rolling3_mean,float64
94,food_1000t_rolling3_mean,float64
95,food_supply_kcal_cap_day_rolling3_mean,float64
96,food_supply_quantity_kg_cap_yr_rolling3_mean,float64
97,import_quantity_1000t_rolling3_mean,float64
98,losses_1000t_rolling3_mean,float64
99,production_1000t_rolling3_mean,float64
100,protein_supply_g_cap_day_rolling3_mean,float64
101,residuals_1000t_rolling3_mean,float64
102,seed_1000t_rolling3_mean,float64
103,stock_variation_1000t_rolling3_mean,float64
104,domestic_supply_1000t_rolling3_std,float64
105,export_quantity_1000t_rolling3_std,float64
106,fat_supply_g_cap_day_rolling3_std,float64
107,feed_1000t_rolling3_std,float64
108,food_1000t_rolling3_std,float64
109,food_supply_kcal_cap_day_rolling3_std,float64
110,food_supply_quantity_kg_cap_yr_rolling3_std,float64
111,import_quantity_1000t_rolling3_std,float64
112,losses_1000t_rolling3_std,float64
113,production_1000t_rolling3_std,float64
114,protein_supply_g_cap_day_rolling3_std,float64
115,residuals_1000t_rolling3_std,float64
116,seed_1000t_rolling3_std,float64
117,stock_variation_1000t_rolling3_std,float64
118,Population_lag1,float64
119,Population_growth_pct1,float64
120,import_share_of_domestic_supply_pct,float64
121,production_share_of_domestic_supply_pct,float64
122,export_share_of_domestic_supply_pct,float64
123,food_share_of_domestic_supply_pct,float64
124,losses_share_of_domestic_supply_pct,float64
125,stock_variation_share_of_domestic_supply_pct,float64
126,production_kg_per_person,float64
127,imports_kg_per_person,float64
128,exports_kg_per_person,float64
129,log_population,float64
