Outcome year,Eligible_observations,Shortage_events,Countries_assessed,Commodities_assessed,Event_rate
2011,249,25,43,8,0.10040160642570281
2012,251,18,43,8,0.07171314741035857
2013,252,27,43,8,0.10714285714285714
2014,251,32,43,8,0.12749003984063745
2015,250,26,43,8,0.104
2016,249,29,43,8,0.11646586345381527
2017,249,14,43,8,0.05622489959839357
2018,249,26,43,8,0.10441767068273092
2019,250,34,43,8,0.136
2020,246,24,43,8,0.0975609756097561
2021,254,28,43,8,0.11023622047244094
2022,251,25,43,8,0.099601593625498
2023,247,26,43,8,0.10526315789473684
