Area,Item Code,Item,Eligible_observations,Shortage_events,First_outcome_year,Last_outcome_year,Commodity_event_rate,Commodity_had_shortage,Commodity_had_recurrent_shortages
Algeria,2511,Wheat and products,13,0,2011,2023,0.0,False,False
Algeria,2514,Maize and products,13,0,2011,2023,0.0,False,False
Algeria,2552,Groundnuts,1,0,2011,2011,0.0,False,False
Algeria,2807,Rice and products,13,0,2011,2023,0.0,False,False
Angola,2511,Wheat and products,13,1,2011,2023,0.07692307692307693,True,False
Angola,2514,Maize and products,13,0,2011,2023,0.0,False,False
Angola,2517,Millet and products,12,1,2011,2023,0.08333333333333333,True,False
Angola,2532,Cassava and products,13,1,2011,2023,0.07692307692307693,True,False
Angola,2552,Groundnuts,13,0,2011,2023,0.0,False,False
Angola,2807,Rice and products,13,0,2011,2023,0.0,False,False
Botswana,2511,Wheat and products,13,0,2011,2023,0.0,False,False
Botswana,2514,Maize and products,13,0,2011,2023,0.0,False,False
Botswana,2517,Millet and products,8,2,2011,2022,0.25,True,True
Botswana,2518,Sorghum and products,13,5,2011,2023,0.38461538461538464,True,True
Botswana,2552,Groundnuts,13,0,2011,2023,0.0,False,False
Botswana,2807,Rice and products,13,1,2011,2023,0.07692307692307693,True,False
Burkina Faso,2511,Wheat and products,13,0,2011,2023,0.0,False,False
Burkina Faso,2514,Maize and products,13,1,2011,2023,0.07692307692307693,True,False
Burkina Faso,2517,Millet and products,13,3,2011,2023,0.23076923076923078,True,True
Burkina Faso,2518,Sorghum and products,13,2,2011,2023,0.15384615384615385,True,True
Burkina Faso,2535,Yams,9,1,2011,2022,0.1111111111111111,True,False
Burkina Faso,2552,Groundnuts,13,1,2011,2023,0.07692307692307693,True,False
Burkina Faso,2807,Rice and products,13,1,2011,2023,0.07692307692307693,True,False
Cabo Verde,2511,Wheat and products,13,0,2011,2023,0.0,False,False
Cabo Verde,2514,Maize and products,13,1,2011,2023,0.07692307692307693,True,False
Cabo Verde,2532,Cassava and products,13,3,2011,2023,0.23076923076923078,True,True
Cabo Verde,2552,Groundnuts,12,0,2012,2023,0.0,False,False
Cabo Verde,2807,Rice and products,13,3,2011,2023,0.23076923076923078,True,True
Cameroon,2511,Wheat and products,13,0,2011,2023,0.0,False,False
Cameroon,2514,Maize and products,13,0,2011,2023,0.0,False,False
Cameroon,2517,Millet and products,13,0,2011,2023,0.0,False,False
Cameroon,2518,Sorghum and products,13,0,2011,2023,0.0,False,False
Cameroon,2532,Cassava and products,13,0,2011,2023,0.0,False,False
Cameroon,2535,Yams,13,0,2011,2023,0.0,False,False
Cameroon,2552,Groundnuts,13,3,2011,2023,0.23076923076923078,True,True
Cameroon,2807,Rice and products,13,0,2011,2023,0.0,False,False
Comoros,2511,Wheat and products,13,1,2011,2023,0.07692307692307693,True,False
Comoros,2514,Maize and products,13,0,2011,2023,0.0,False,False
Comoros,2532,Cassava and products,13,1,2011,2023,0.07692307692307693,True,False
Comoros,2535,Yams,13,0,2011,2023,0.0,False,False
Comoros,2552,Groundnuts,13,0,2011,2023,0.0,False,False
Comoros,2807,Rice and products,13,0,2011,2023,0.0,False,False
Congo,2511,Wheat and products,13,0,2011,2023,0.0,False,False
Congo,2514,Maize and products,13,3,2011,2023,0.23076923076923078,True,True
Congo,2532,Cassava and products,13,0,2011,2023,0.0,False,False
Congo,2535,Yams,13,0,2011,2023,0.0,False,False
Congo,2552,Groundnuts,13,0,2011,2023,0.0,False,False
Congo,2807,Rice and products,13,2,2011,2023,0.15384615384615385,True,True
Côte d'Ivoire,2511,Wheat and products,13,0,2011,2023,0.0,False,False
Côte d'Ivoire,2514,Maize and products,13,1,2011,2023,0.07692307692307693,True,False
Côte d'Ivoire,2517,Millet and products,13,0,2011,2023,0.0,False,False
Côte d'Ivoire,2518,Sorghum and products,13,0,2011,2023,0.0,False,False
Côte d'Ivoire,2532,Cassava and products,13,0,2011,2023,0.0,False,False
Côte d'Ivoire,2535,Yams,13,0,2011,2023,0.0,False,False
Côte d'Ivoire,2552,Groundnuts,13,2,2011,2023,0.15384615384615385,True,True
Côte d'Ivoire,2807,Rice and products,13,0,2011,2023,0.0,False,False
Democratic Republic of the Congo,2511,Wheat and products,13,4,2011,2023,0.3076923076923077,True,True
Democratic Republic of the Congo,2514,Maize and products,13,0,2011,2023,0.0,False,False
Democratic Republic of the Congo,2532,Cassava and products,13,0,2011,2023,0.0,False,False
Democratic Republic of the Congo,2552,Groundnuts,13,1,2011,2023,0.07692307692307693,True,False
Democratic Republic of the Congo,2807,Rice and products,13,0,2011,2023,0.0,False,False
Djibouti,2511,Wheat and products,13,0,2011,2023,0.0,False,False
Djibouti,2514,Maize and products,6,3,2013,2023,0.5,True,True
Djibouti,2518,Sorghum and products,9,1,2013,2021,0.1111111111111111,True,False
