Area,Historical_eligible_observations,Historical_shortage_events,Historical_commodities_assessed,Historical_outcome_years_assessed,First_outcome_year,Last_outcome_year,Historical_event_rate,Historical_rate_lower_bound,Historical_rate_upper_bound,Historical_eligibility_share,Recent_eligible_observations,Recent_shortage_events,Recent_commodities_assessed,Recent_outcome_years_assessed,Recent_event_rate,Recent_rate_lower_bound,Recent_rate_upper_bound,Recent_eligibility_share,Eligible_commodity_pairs,Commodities_with_shortages,Commodities_with_recurrent_shortages,Maximum_events_in_one_commodity,Historical_shortage_breadth_rate,Most_recent_shortage_year,Years_from_last_event_to_2023,Forward_scored_commodities,Forward_watch_or_higher,Forward_formal_warnings,Forward_high_warnings,Forward_average_probability,Forward_maximum_probability,Forward_warning_share,Forward_watch_share,Historical_burden_rank,Recent_burden_rank,Forward_screening_priority_rank,Historical_raw_rate_rank,Recent_raw_rate_rank,Forward_peak_risk_rank,Forward_warning_share_rank,Historical_rank_adjustment_for_denominator,Recent_rank_adjustment_for_denominator
Algeria,40,0,4,13,2011,2023,0.0,0.0,0.08762160119728664,0.38461538461538464,15,0,3,5,0.0,0.0,0.20388330103584862,0.375,4,0,0,0,0.0,,,3,3,1,0,0.09838333333333334,0.171652380952381,0.3333333333333333,1.0,43,41,24,43,41,30,16,0,0
Angola,77,3,6,13,2011,2023,0.03896103896103896,0.013337950040590962,0.10839981872632877,0.7403846153846154,30,1,6,5,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.75,6,3,0,1,0.5,2019.0,4.0,6,3,1,0,0.0775461159211159,0.2385874458874458,0.16666666666666666,0.5,34,37,32,34,37,20,32,0,0
Botswana,73,8,6,13,2011,2023,0.1095890410958904,0.05658671784680623,0.20162621987205226,0.7019230769230769,27,3,6,5,0.1111111111111111,0.038520348283098374,0.2805780081827982,0.675,6,3,2,5,0.5,2023.0,0.0,5,2,1,0,0.09615077367077365,0.26433539793539784,0.2,0.4,16,22,27,16,21,14,26,0,1
Burkina Faso,87,9,7,13,2011,2023,0.10344827586206896,0.05538511033788457,0.18504980896262468,0.8365384615384616,32,4,7,5,0.125,0.04970134387480073,0.2806830548165022,0.8,7,6,2,3,0.8571428571428571,2021.0,2.0,6,4,1,0,0.0788777565027565,0.21739559884559884,0.16666666666666666,0.6666666666666666,17,15,31,18,15,25,32,-1,0
Cabo Verde,64,7,5,13,2011,2023,0.109375,0.05400113344416797,0.20898641326896122,0.6153846153846154,25,2,5,5,0.08,0.022220401284847563,0.24966108950395313,0.625,5,3,2,3,0.6,2019.0,4.0,5,2,0,0,0.05236344322344322,0.11871111111111114,0.0,0.4,18,28,39,17,27,39,37,1,1
Cameroon,104,3,8,13,2011,2023,0.028846153846153848,0.009858182902777006,0.08140040102511037,1.0,40,2,8,5,0.05,0.013820667386148344,0.16503877369140962,1.0,8,1,1,3,0.125,2022.0,1.0,8,2,0,0,0.04403593975468975,0.10155555555555557,0.0,0.25,37,31,42,38,33,41,37,-1,-2
Comoros,78,2,6,13,2011,2023,0.02564102564102564,0.007060093472759203,0.08875270035675845,0.75,30,2,6,5,0.06666666666666667,0.018477023791270378,0.2132345836261692,0.75,6,2,0,1,0.3333333333333333,2021.0,2.0,6,5,2,0,0.10175349927849926,0.16704603174603164,0.3333333333333333,0.8333333333333334,40,30,22,40,30,32,16,0,0
Congo,78,5,6,13,2011,2023,0.0641025641025641,0.027689315373790935,0.14143595463171177,0.75,30,1,6,5,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.75,6,2,2,3,0.3333333333333333,2021.0,2.0,6,2,2,1,0.1398621212121212,0.619498629148629,0.3333333333333333,0.3333333333333333,31,37,9,32,37,1,16,-1,0
Côte d'Ivoire,104,3,8,13,2011,2023,0.028846153846153848,0.009858182902777006,0.08140040102511037,1.0,40,2,8,5,0.05,0.013820667386148344,0.16503877369140962,1.0,8,2,1,2,0.25,2023.0,0.0,8,3,1,0,0.05785749458874456,0.21963275613275593,0.125,0.375,37,31,36,38,33,23,36,-1,-2
Democratic Republic of the Congo,65,5,5,13,2011,2023,0.07692307692307693,0.03330350149516352,0.1677593327011,0.625,25,3,5,5,0.12,0.04166817150440358,0.2995579392092732,0.625,5,2,1,4,0.4,2023.0,0.0,5,3,2,0,0.10700046176046177,0.20995158730158725,0.4,0.6,26,18,20,23,16,26,13,3,2
