Packet type,Entity,File,Path,Historical events,Forward scored commodities,Forward formal warnings
Country,Algeria,country_algeria_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_algeria_evidence.json,0,3,1
Country,Angola,country_angola_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_angola_evidence.json,3,6,1
Country,Botswana,country_botswana_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_botswana_evidence.json,8,5,1
Country,Burkina Faso,country_burkina_faso_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_burkina_faso_evidence.json,9,6,1
Country,Cabo Verde,country_cabo_verde_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_cabo_verde_evidence.json,7,5,0
Country,Cameroon,country_cameroon_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_cameroon_evidence.json,3,8,0
Country,Comoros,country_comoros_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_comoros_evidence.json,2,6,2
Country,Congo,country_congo_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_congo_evidence.json,5,6,2
Country,Côte d'Ivoire,country_cote_d_ivoire_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_cote_d_ivoire_evidence.json,3,8,1
Country,Democratic Republic of the Congo,country_democratic_republic_of_the_congo_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_democratic_republic_of_the_congo_evidence.json,5,5,2
Country,Djibouti,country_djibouti_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_djibouti_evidence.json,6,5,1
Country,Egypt,country_egypt_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_egypt_evidence.json,5,5,1
Country,Eswatini,country_eswatini_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_eswatini_evidence.json,10,5,2
Country,Ethiopia,country_ethiopia_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_ethiopia_evidence.json,4,6,0
Country,Gabon,country_gabon_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_gabon_evidence.json,2,6,1
Country,Gambia,country_gambia_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_gambia_evidence.json,18,7,3
Country,Ghana,country_ghana_evidence.json,/Users/adewale/Documents/food_security_predictor/outputs/africa_first/report_inputs/countries/country_ghana_evidence.json,8,8,2
